countrycode,countryname,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015
BEL,Belgium,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BLZ,Belize,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BEN,Benin,PF,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BTN,Bhutan,PF,PF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,PF,PF,PF,PF,PF,PF,PF,PF
BOL,Bolivia,F,F,F,F,F,PF,F,F,F,F,F,F,F,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF
BIH,Bosnia and Herzegovina,,,NF,NF,NF,NF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF
BWA,Botswana,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BRA,Brazil,F,F,F,PF,PF,PF,PF,PF,PF,PF,PF,PF,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BRN,Brunei Darussalam,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF
BGR,Bulgaria,PF,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BFA,Burkina Faso,NF,NF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF
BDI,Burundi,NF,NF,PF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,NF,NF
KHM,Cambodia,NF,NF,NF,PF,PF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF
CMR,Cameroon,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF
CAN,Canada,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CPV,Cabo Verde,PF,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CAF,Central African Republic,NF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,NF,NF,PF,PF,PF,PF,PF,PF,PF,PF,NF,NF,NF
TCD,Chad,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF
CHL,Chile,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CHN,China,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF
COL,Colombia,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF
COM,Comoros,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF
COG,"Congo, Rep.",NF,PF,PF,PF,PF,PF,PF,NF,NF,NF,PF,PF,PF,PF,PF,PF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF
ZAR,"Congo, Dem. Rep.",NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF
CRI,Costa Rica,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CIV,Cote d'Ivoire,PF,PF,PF,NF,NF,NF,NF,NF,NF,PF,PF,PF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,PF,PF,PF,PF
HRV,Croatia,,PF,PF,PF,PF,PF,PF,PF,PF,PF,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CUB,Cuba,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF
CYP,Cyprus,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CZE,Czech Republic,,,,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
DNK,Denmark,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
DJI,Djibouti,NF,NF,NF,NF,NF,NF,NF,NF,NF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,NF,NF,NF,NF,NF,NF
DMA,Dominica,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
DOM,Dominican Republic,F,F,F,PF,PF,PF,PF,PF,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,PF
TMP,Timor-Leste,,,,,,,,,,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF
ECU,Ecuador,F,F,F,F,F,F,PF,PF,F,F,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF
